country_old,threshold,area,extent_2000,extent_2010,gain_2000-2020,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,tree_cover_2000,carbon_stocks_2000,avg_carbon_stocks_2000,carbon_emissions_yr,carbon_removals_yr,net_flux_yr,emissions_2001,emissions_2002,emissions_2003,emissions_2004,emissions_2005,emissions_2006,emissions_2007,emissions_2008,emissions_2009,emissions_2010,emissions_2011,emissions_2012,emissions_2013,emissions_2014,emissions_2015,emissions_2016,emissions_2017,emissions_2018,emissions_2019,emissions_2020,emissions_2021,emissions_2022,emissions_2023,subnational1,iso,loss__year,tree_cover_loss,tree_cover_loss_from_fires,country
Antigua and Barbuda,30,43576,19323,19976,362,24,18,17,25,61,61,37,46,62,19,26,33,21,25,9,14,72,163,23,15,39,37,19,19323,958741,50,12744.0,94090.0,-81346.0,7212.0,5276.0,5373.0,8339.0,22402.0,19341.0,11235.0,15236.0,22546.0,6734.0,9055.0,10827.0,6503.0,7482.0,2806.0,4024.0,21941.0,57035.0,7123.0,5485.0,14471.0,15710.0,6957.0,,FRA,2001.0,34420.96339,1602.153341,Antigua and Barbuda
Antigua and Barbuda,50,43576,17271,16351,362,23,17,16,25,59,58,36,43,59,18,25,32,20,23,9,14,69,157,23,15,35,35,18,17271,892227,52,12368.0,86056.0,-73688.0,7052.0,5103.0,5255.0,8147.0,21977.0,18772.0,10953.0,14690.0,21939.0,6593.0,8997.0,10600.0,6174.0,7019.0,2732.0,3914.0,21194.0,55714.0,6962.0,5354.0,13468.0,15199.0,6653.0,,GAB,2001.0,15082.63773,180.8810327,Antigua and Barbuda
Antigua and Barbuda,75,43576,13990,11175,362,19,14,14,22,56,50,30,37,50,16,24,27,17,19,8,11,66,134,21,13,28,32,15,13990,771953,55,11243.0,72701.0,-61458.0,6117.0,4453.0,4728.0,7537.0,21216.0,16963.0,9694.0,13318.0,19922.0,6084.0,8638.0,9308.0,5644.0,6002.0,2530.0,3294.0,20248.0,49631.0,6528.0,4871.0,11799.0,14110.0,5956.0,,GBR,2001.0,23244.12725,2742.570817,Antigua and Barbuda
Argentina,30,278010122,39086979,38380241,1107735,147806,105002,249155,433430,367249,316447,425345,592753,309858,413231,499187,478178,376777,241103,180233,230189,233920,172958,145444,197379,201882,232224,215935,39086979,1446602891,37,71979634.0,163615505.0,-91635872.0,32625004.0,25377671.0,48861652.0,86611386.0,79829152.0,72914031.0,87351121.0,133862735.0,71052352.0,96114734.0,110894780.0,116425578.0,98187687.0,62211894.0,51307752.0,61301339.0,65060270.0,45878754.0,41029721.0,55279933.0,66857809.0,76942732.0,69553490.0,,GLP,2001.0,320.7023856,3.031383899,Argentina
Argentina,50,278010122,23116356,23907653,1107735,102144,73470,132020,248387,228611,210531,247500,396089,206806,297486,355899,347089,253702,155456,119321,143415,159830,112695,98278,133587,136385,163232,153869,23116356,1110368974,48,57343324.0,103474535.0,-46131211.0,27175535.0,21495117.0,35205583.0,63517995.0,61789300.0,59137051.0,64561999.0,105977635.0,56446581.0,79912425.0,90283752.0,95960097.0,78962991.0,48972121.0,41653104.0,47210745.0,52523784.0,35515805.0,32353940.0,43217689.0,55131747.0,63868812.0,58022650.0,,GMB,2001.0,3.297421863,0.0,Argentina
Argentina,75,278010122,10594206,13568950,1107735,62985,49420,73653,122896,119548,108991,109386,176439,94054,127311,135981,141402,99050,52031,49173,50382,53602,32409,30943,44745,45551,54791,36752,10594206,691654127,65,33982164.0,49011798.0,-15029634.0,20301365.0,17192445.0,25109460.0,41215574.0,42249746.0,40634942.0,39637723.0,63977525.0,35197392.0,47486961.0,47535293.0,54083211.0,46030985.0,26477726.0,25576284.0,26122710.0,27951401.0,16778943.0,15562841.0,21254755.0,33831360.0,37781604.0,29599535.0,,GNB,2001.0,2362.153028,2.634593182,Argentina
Armenia,30,2969009,336842,248992,12256,132,173,396,83,104,130,55,113,203,162,174,198,42,38,2,30,42,6,1,19,5,8,86,336842,20032792,59,30703.0,901660.0,-870957.0,39950.0,51703.0,130006.0,25479.0,30743.0,39562.0,16857.0,34965.0,59046.0,54638.0,60125.0,62383.0,13854.0,13321.0,762.0,11161.0,10549.0,2062.0,241.0,7548.0,2042.0,3150.0,36024.0,,GUY,2001.0,10039.86771,2923.336047,Armenia
Armenia,50,2969009,294622,177146,12256,122,164,387,73,98,121,48,103,188,150,167,184,35,35,2,29,23,5,1,18,4,8,80,294622,18365585,62,29440.0,801632.0,-772192.0,38183.0,50226.0,128541.0,23537.0,29682.0,37901.0,15557.0,32853.0,56241.0,52137.0,58812.0,59853.0,12524.0,12534.0,762.0,10818.0,7844.0,1950.0,222.0,7441.0,1854.0,3053.0,34600.0,,HKG,2001.0,7.981291214,0.284980306,Armenia
Armenia,75,2969009,224841,56961,12256,98,139,355,57,83,97,40,71,143,130,143,140,23,29,2,26,15,4,0,14,4,6,71,224841,14971525,67,25821.0,625363.0,-599542.0,33002.0,45623.0,121793.0,19881.0,26606.0,32657.0,13724.0,23899.0,45453.0,47505.0,53189.0,49614.0,9118.0,11068.0,661.0,10026.0,5851.0,1628.0,178.0,5883.0,1742.0,2342.0,32440.0,,HND,2001.0,42380.17446,3128.64562,Armenia
Aruba,30,18198,25,24,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,665,27,16.0,533.0,-517.0,0.0,28.0,66.0,0.0,0.0,44.0,0.0,0.0,58.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,,IND,2001.0,62361.1745,2011.99681,Aruba
Aruba,50,18198,16,8,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,402,25,15.0,515.0,-500.0,0.0,28.0,66.0,0.0,0.0,44.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,,IRL,2001.0,9559.474141,597.9833643,Aruba
Aruba,75,18198,12,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,286,24,14.0,510.0,-496.0,0.0,28.0,66.0,0.0,0.0,44.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,,IRN,2001.0,332.4837054,62.84616548,Aruba
Australia,30,768791340,42280599,39480482,1600600,218816,312150,373847,124769,177024,186304,372717,205725,203711,290725,121316,139803,260094,281738,261575,430903,236876,250751,1661548,2356516,261044,118987,190713,42280599,2535717794,60,97242266.0,207229495.0,-109987228.0,28222183.0,36670866.0,59693293.0,36491563.0,39978969.0,44817043.0,77834936.0,49565874.0,61153546.0,48522849.0,44508195.0,46999069.0,74483060.0,82322327.0,70458743.0,124187797.0,88657405.0,76841841.0,343697239.0,587010120.0,99354669.0,54646289.0,60454246.0,,JOR,2001.0,0.522028031,0.0,Australia
Australia,50,768791340,25719710,24451140,1600600,67023,84679,151950,94286,96246,114450,181580,127334,168109,87901,86676,88031,181744,192619,149473,305288,175039,155010,1227182,1951339,197488,80012,91077,25719710,1820995374,71,82757311.0,157811403.0,-75054092.0,20854772.0,24776590.0,47411724.0,32699816.0,34063933.0,38764409.0,61866880.0,43423141.0,57816727.0,37593667.0,40672796.0,40877734.0,63539164.0,67080786.0,57043664.0,106640198.0,76406998.0,63192185.0,274517652.0,534524178.0,86918312.0,46982988.0,45749830.0,,JPN,2001.0,23977.46162,763.161523,Australia
Australia,75,768791340,17781353,16932966,1600600,55260,63641,128963,80249,78646,89381,148656,93891,150407,74709,71314,67153,124932,134978,110261,207691,121618,102873,770430,1428178,145082,53710,56752,17781353,1340554375,75,65802568.0,123468646.0,-57666078.0,18365147.0,21414358.0,42264398.0,29293207.0,30144663.0,33449384.0,55174200.0,37059984.0,52984402.0,34080216.0,36528956.0,35210110.0,48472948.0,52940928.0,46385300.0,84714403.0,61236855.0,48892496.0,186023250.0,412457708.0,72264146.0,38933591.0,35168421.0,,KAZ,2001.0,4534.702741,1169.958089,Australia
Austria,30,8385802,4336043,4348982,36317,6926,10902,14476,14599,21657,12584,31670,26896,15887,16713,18090,11158,7645,9870,7938,17210,18406,26310,33642,25937,16652,19865,26504,4336043,361556731,83,9217507.0,29561502.0,-20343994.0,2789699.0,4486380.0,5807854.0,6331780.0,9997706.0,6067702.0,15463829.0,13380065.0,7764855.0,8004648.0,9312843.0,5684967.0,3837381.0,4960239.0,4187183.0,9291803.0,9981559.0,14950812.0,18581208.0,14765712.0,9307858.0,11331265.0,15715320.0,,LAO,2001.0,36474.65075,123.7408599,Austria
Austria,50,8385802,4114725,4008210,36317,6828,10753,14270,14412,21411,12468,31317,26662,15748,16521,17949,11034,7470,9654,7841,16985,18141,25993,33173,25633,16435,19541,26149,4114725,353933691,86,9160048.0,28034409.0,-18874361.0,2773531.0,4459319.0,5767652.0,6294945.0,9947543.0,6043415.0,15385718.0,13327818.0,7733049.0,7959725.0,9277958.0,5653648.0,3792936.0,4904468.0,4161617.0,9230899.0,9909460.0,14860962.0,18444593.0,14677655.0,9242130.0,11229280.0,15602793.0,,LBN,2001.0,299.4042676,25.6995691,Austria
