country,iso,tree_cover_gain_1000_ha,umd_tree_cover_extent_2000__ha
Dominica,DMA,0.079949,75428.07801474677
Denmark,DNK,95.181264,4314471.7705747625
Dominican Republic,DOM,54.804495,4809195.188376328
Algeria,DZA,89.1515,230804377.3074752
Ecuador,ECU,218.567547,25611545.43210182
Egypt,EGY,4.206143,98376439.43319307
Eritrea,ERI,10.676054,12045733.197587496
Western Sahara,ESH,0.000847,26732059.552159756
Spain,ESP,381.023965,50604278.841078565
Estonia,EST,165.13105,4548974.012677045
Ethiopia,ETH,403.581638,112951806.95088767
Finland,FIN,1357.02184,33693917.9909381
Fiji,FJI,5.409642,1808230.974308128
Falkland Islands,FLK,0.0,1239764.463493974
France,FRA,695.647702,54951497.53228478
Faroe Islands,FRO,0.0,143971.29834117735
"Micronesia, Fed. Sts.",FSM,0.0,10266.944492561783
Gabon,GAB,50.031071,26454969.882697176
United Kingdom,GBR,473.122873,24548497.615154855
Georgia,GEO,93.536927,6984457.3866732735
Guernsey,GGY,0.078858,8844.93755901557
Ghana,GHA,312.123825,23832413.121408425
Gibraltar,GIB,0.000562,721.2164658817268
Guinea,GIN,272.657023,24481606.683527693
Guadeloupe,GLP,1.509215,165028.80176981183
Gambia,GMB,15.326742,1067050.7519443373
Guinea-Bissau,GNB,43.268841,3388205.0046143704
Equatorial Guinea,GNQ,5.166851,2695935.3382935314
Greece,GRC,71.537222,13257505.410981748
Grenada,GRD,0.085031,35953.33668168481
Greenland,GRL,0.0,12409768.80941302
Guatemala,GTM,291.032322,10915098.49020758
French Guiana,GUF,10.102613,8330096.726530493
Guyana,GUY,30.502238,20974416.138351873
Hong Kong,HKG,0.676048,112913.21583203568
Honduras,HND,137.965267,11228979.897586994
Croatia,HRV,59.572586,5707840.168681471
Haiti,HTI,13.83243,2710683.587270778
Hungary,HUN,207.300872,9305263.744427249
Indonesia,IDN,4882.137556,189024469.0219802
Isle of Man,IMN,0.999787,57966.50957252307
India,IND,1881.688645,315279651.30503404
Ireland,IRL,284.262893,7036644.645937797
Iran,IRN,49.762476,162173902.83999574
Iraq,IRQ,9.456848,44535864.69401226
Iceland,ISL,0.0,10222425.82955892
Israel,ISR,5.317685,2215883.3664286644
Italy,ITA,189.386547,30075442.783975136
Jamaica,JAM,5.832938,1099979.9327954054
Jersey,JEY,0.110404,12512.551956938509
Jordan,JOR,0.871673,8911879.301311027
Japan,JPN,221.004477,37240326.65674693
Kazakhstan,KAZ,71.223572,273053036.22431463
Kenya,KEN,117.012535,58598335.71896742
Kyrgyz Republic,KGZ,67.691242,19864898.70385088
Cambodia,KHM,147.334161,18135960.793592073
Kiribati,KIR,0.0,689.8485050325128
St. Kitts and Nevis,KNA,0.42633,26717.787726429975
South Korea,KOR,109.265365,10022829.791974269
Kuwait,KWT,0.051436,1738893.7953499292
Laos,LAO,101.748463,23000147.786721177
Lebanon,LBN,6.369402,1023803.8608160357
Liberia,LBR,57.761743,9591801.58297116
Libya,LBY,1.49871,161606184.84794348
St. Lucia,LCA,0.1435,61447.62916553653
Liechtenstein,LIE,0.056407,16203.80932192984
Sri Lanka,LKA,60.079269,6583727.0145633565
Lesotho,LSO,2.973225,3054531.162856394
Lithuania,LTU,241.547689,6501662.939354114
Luxembourg,LUX,2.851125,258155.73939616085
Latvia,LVA,290.488614,6470996.260924654
Macau,MAC,0.006782,3412.786424292659
Saint-Martin,MAF,0.024311,5616.342785538738
Morocco,MAR,81.645788,41348767.35079896
Monaco,MCO,0.000336,235.29748447853305
Moldova,MDA,36.546362,3390780.839077732
Madagascar,MDG,173.321899,59144707.32516677
Maldives,MDV,0.03149,27912.71303579204
Mexico,MEX,1423.107453,195185464.54582012
North Macedonia,MKD,12.568274,2482514.957614523
Mali,MLI,203.580142,125119256.16729544
