"iso","umd_tree_cover_gain__ha","umd_tree_cover_extent_2000__ha"
"NGA",927800.63884119127911879,90840998.02039910579505444
"NIC",142444.73111873747067883,12821978.47609522371813539
"NLD",60819.453515602882805896,3766566.364398996481925896
"NOR",476523.096905705629852869,32512221.025825925759129135
"NPL",174007.64751295124867079,14766249.54440743510477958
"NRU",0.0,2215.23352633937021
"NZL",434874.566806696248686560,26716575.124389169030258738
"OMN",1548.26885274104029365,30933274.08645123193694769
"PAK",133480.85229940231604791,87417630.59556704688241101
"PAN",84108.66154540973284801,7510419.90445353344608852
"PER",430186.26203671655146419,129281868.51759540466884916
"PHL",172161.29730404570255265,29585658.16289541150159429
"PLW",135.28405934021320985,48743.20538078799849972
"PNG",266144.89986407095945547,46363061.21418391834081200
"POL",892072.30041273957078670,31239917.80009552583457498
"PRI",7140.67270191117171380,897037.27464474162385122
"PRK",288491.652592703899155084,12275519.138587365184053638
"PRT",168606.877363079973149944,8955505.678182833179232515
"PRY",642487.58238079792628703,39958667.52153217811334936
"PSE",1697.12868418470963461,621996.68332012785288232
"QAT",37.96315468056858946,1162493.79962663975301285
"REU",0.0,251271.105014711464427
"ROU",223889.810884063819301665,23833793.638779258809514215
"RUS",37220539.178898169072508116,1689455451.854777696967868696
"RWA",16061.38518342748774258,2527769.91218262234065847
"SAU",7598.97211793814601595,191598433.63238646155370123
"SDN",216597.57419147461380742,187213491.71256349005603880
"SEN",77187.31442563111196781,19688982.71259515433081832
"SGP",1976.96960527272734191,69703.69605878368988985
"SJM",0.0,5442472.3736774274374
"SLB",4916.63294620979433180,2853324.00584823563609251
"SLE",102136.73155822499448877,7260135.88614751958795912
"SLV",14647.37595586827835952,2042272.85894926502481850
"SMR",19.122840950470916,6122.352960187078972
"SOM",4188.83161384897686286,63353849.52120363459526821
"SPM",31.72227115641060113,22663.41677143620588113
"SRB",76226.61138955583869866,7823140.49142832759888596
"SSD",1082860.74180561738244049,62809870.69840365239578621
"STP",0.0,100217.9877254075333102
"SUR",23723.90906661343200039,14642556.86529227783814155
"SVK",35796.77192060566012774,4909915.804720572586704907
"SVN",7767.574300407009670235,1998090.785493070172895445
"SWE",1671285.358177381404050157,45004558.106551216031918757
"SWZ",23455.06045134042088949,1738333.06301442088001487
"SXM",16.48019212719292612,3801.38751521779961728
"SYC",1.44203420977484819,20267.93208728904960801
"SYR",5710.70335158107143274,18691798.39213449517427951
"TCA",63.76660102721355412,99152.01584845890178509
"TCD",256621.77792954612763508,126995174.50108099673654284
"TGO",47915.66471573475230300,5699519.20201679268585169
"THA",1842370.57709205472897440,51405448.59427833268626620
"TJK",19711.95912170937977921,14211295.40572036706885741
"TKM",419.04664956114807497,48959209.55421508492344859
"TLS",11133.81520283901581643,1491565.39233698834553237
"TTO",3320.42459689642333114,515899.59454438768386982
"TUN",10133.39479431073687688,15486458.27095303237381254
"TUR",473795.005441811372058622,78070340.890014740721540422
"TUV",0.0,49.9008349886126798
"TWN",29314.53569833736440402,3640651.39732410823163930
"TZA",557235.92354902457651291,94057690.73100684326741909
"UGA",185026.62413671625454381,24143952.93930348743363318
"UKR",926362.40517788714618446,60136109.70821625099427346
"UMI",4.458698645033634,541.679762804993440
"URY",654495.29825661516982185,17746574.34434791138777671
"USA",13986699.785170793342185703,947295610.248254931909823509
"UZB",43149.05843603098858635,44755388.10019691681342325
"VAT",0.057600842180989584,52.878039684036315584
"VCT",126.81963699811635817,39788.97162862953255511
"VEN",491357.39952644619998460,91249225.52623253281928632
"VGB",23.89673458256293573,16932.04449944635290892
"VIR",209.24081167112185019,36213.91572681769019620
"VNM",1004758.62532272423666360,32927599.94752574173395969
"VUT",302.55253250262154223,1231886.10315649539897858
"XAD",41.99967457316406049,23448.38132255777329116
